epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.14116342128114776;0.9539375;0.2611397978879097;0.8959702568204643;0.28774193548387095;0.9539375;nan;1.0;0.0;0.954125;0.2633088461306272;0.8943446479166361;0.12373380264593288;0.2970027247956403;0.954125;nan;1.0;0.0
1;0.13241092320217285;0.9561875;0.27317718000189817;0.9059732676252044;0.3282967032967033;0.9561875;nan;1.0;0.0;0.95425;0.2775578456981356;0.8997587367987046;0.1123306736642262;0.31204379562043794;0.95425;nan;1.0;0.0
2;0.1239180859090411;0.9535625;0.2934525503128299;0.9078320380883792;0.34139784946236557;0.9535625;nan;1.0;0.0;0.95625;0.3051287175633951;0.9061307189542483;0.1327287892298773;0.34;0.95625;nan;1.0;0.0
3;0.12367609694218845;0.955875;0.34597607318043516;0.9158459722952325;0.3758765778401122;0.955875;nan;1.0;0.0;0.95525;0.3260002002869301;0.9160046508635752;0.11321577687934041;0.34986945169712796;0.95525;nan;1.0;0.0
4;0.12580302230018423;0.9543125;0.35081927404713065;0.9190552395212916;0.37350993377483444;0.95458525;0.64285713;0.9996725;0.012244898;0.954875;0.3260667271540982;0.902373836532868;0.11964305666286965;0.36944444444444446;0.955222;0.4;0.9996073;0.0055555557
5;0.11928250058492995;0.95825;0.3960724902061654;0.9260107817237948;0.4388059701492537;0.95825;nan;1.0;0.0;0.954375;0.42162428321213374;0.9192476967103551;0.11321479258791078;0.41643835616438357;0.954375;nan;1.0;0.0
6;0.11731978536426323;0.9569375;0.3737720400821665;0.9236508011590175;0.4107402031930334;0.9569375;nan;1.0;0.0;0.954375;0.4512595894983101;0.9240064231952705;0.11321566899307073;0.49728260869565216;0.954375;nan;1.0;0.0
7;0.11277558136521838;0.95575;0.3945867875091514;0.9231051429419348;0.4297635605006954;0.9560103;0.7368421;0.99967283;0.019525802;0.9555;0.40557098865572316;0.9155342256284602;0.11168577446369454;0.46685082872928174;0.95618975;0.45454547;0.9992152;0.014084507
8;0.11973723743023584;0.9563125;0.38798627046444856;0.9233174572554224;0.4220430107526882;0.96239597;0.58365756;0.9929873;0.20215634;0.9575;0.3853421283818705;0.9073230266726514;0.11586492499161977;0.44141689373297005;0.9640315;0.5681818;0.9925412;0.20949721
9;0.11593603778572287;0.9565625;0.3815004388513515;0.9214319081600257;0.4206798866855524;0.9677068;0.51399493;0.98751146;0.28611898;0.957;0.4227716665314463;0.9241186968215572;0.11915303415525705;0.46774193548387094;0.96716267;0.5686275;0.9884636;0.31182796
10;0.11837423461856088;0.9558125;0.378978707837158;0.9170512701150191;0.403954802259887;0.95586675;0.6666667;0.9999346;0.0028248588;0.955625;0.4153829622275654;0.9208647832054458;0.11785800264286808;0.45938375350140054;0.955625;nan;1.0;0.0
11;0.12496918611082947;0.955625;0.4247419514914545;0.9228738658947326;0.4440104166666667;0.9614994;0.6;0.99317497;0.20472442;0.957375;0.4028575339174909;0.9240826978801833;0.10451315668039024;0.42424242424242425;0.96283144;0.5897436;0.99371564;0.19060774
12;0.12392750315193553;0.9598125;0.3862705452278185;0.9213044605442494;0.4155455904334828;0.96575344;0.5560345;0.9932816;0.19282511;0.95625;0.44023912130467774;0.9156040345716774;0.10416801692103035;0.42819148936170215;0.96178263;0.6048387;0.99357295;0.19946809
13;0.1170859864007798;0.9560625;0.3875035799195121;0.9201524420423274;0.42761394101876676;0.9640306;0.565625;0.99088824;0.24295302;0.9555;0.39336301758599684;0.9224458405618157;0.10388604071852751;0.39509536784741145;0.96268564;0.4876033;0.9918922;0.16713881
14;0.1230473622738209;0.960125;0.3985656477261293;0.9262599238716693;0.44837758112094395;0.96569216;0.5800866;0.99367046;0.19851851;0.956;0.37387806104694704;0.913998895546466;0.1112495270636864;0.40616966580976865;0.9603948;0.5979381;0.99488795;0.15633424
15;0.11832841913442826;0.9584375;0.4077884208778333;0.9269745144168299;0.449438202247191;0.96436965;0.5921569;0.99319726;0.21207865;0.954125;0.4272846373815785;0.925554910576686;0.11611724871915066;0.4475703324808184;0.9603356;0.5895522;0.99277174;0.20204604
16;0.12042189468117431;0.9544375;0.40891772499482815;0.9217738227660365;0.4464516129032258;0.96485376;0.5563725;0.9881117;0.2929032;0.956;0.4223690729223808;0.9191942270844619;0.11491697079408913;0.4441489361702128;0.9655702;0.5561497;0.9891176;0.27882037
17;0.1116791128218756;0.959125;0.44118178764919497;0.931520379867591;0.4789915966386555;0.9651621;0.6074074;0.99306643;0.23033708;0.958;0.45081516543941835;0.9287632420575561;0.10794323091511615;0.4973404255319149;0.9634953;0.64492756;0.99357295;0.23670213
18;0.12260308681702009;0.957125;0.4226900084198219;0.928767932834315;0.46453407510431155;0.96662194;0.5457064;0.9892677;0.27399164;0.957375;0.39238969367297977;0.9182822603651578;0.11067206924315542;0.4318181818181818;0.9666624;0.53216374;0.98953974;0.25852272
19;0.11037967288732761;0.958625;0.40330138487930345;0.9202678956105285;0.42209631728045327;0.96350735;0.6018519;0.9943769;0.18413597;0.95825;0.35141258332064135;0.910593319726116;0.11971874393615872;0.3798219584569733;0.9634547;0.51086956;0.9941284;0.13988096
20;0.12710792666161433;0.9578125;0.4007853314348575;0.9231609640856431;0.44662921348314605;0.9644718;0.56390977;0.9924138;0.21156558;0.95675;0.42640157073284746;0.9212502724919348;0.1109446675243089;0.48517520215633425;0.9625302;0.5984252;0.993315;0.20485175
